,genre,imdb_id,imdb_rating,imdb_votes,rated,released,runtime,title,year,ebay,etsy,bonanza
443,Game-Show,tt8451992,6.7,77,TV-G,25 Jun 2018,30 min,Double Dare,2018–,116,18,2
444,"Short, Reality-TV",tt6045142,6.6,296,TV-14,11 Jul 2018,60 min,Dr. Pimple Popper,2018–,0,54709,0
445,"Animation, Family, Fantasy",tt8688814,8.3,"8,899",TV-Y7,14 Sep 2018,26 min,The Dragon Prince,2018–,0,4,0
446,"Animation, Action, Comedy, Family",tt7741830,6.7,444,TV-Y7,,24 min,The Epic Tales of Captain Underpants,2018–,0,0,0
447,"Animation, Adventure, Family, Fantasy",tt7167690,7.6,15,TV-Y,18 Aug 2018,11 min,Esme & Roy,2018–,0,54709,0
448,"Animation, Family, Musical",tt2229129,5.6,118,,13 Jul 2018,22 min,Fancy Nancy,2018–,69,3,1
449,"Crime, Drama, Mystery, Thriller",tt7491982,6.6,"5,964",TV-14,25 Sep 2018,60 min,FBI,2018–,502,53,8
450,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",tt6317068,8.4,"23,298",TV-14,26 Feb 2018,30 min,Final Space,2018–,18,10,0
451,Documentary,tt8448852,,,,23 May 2018,,Get Up! Stand Up!,2018,1,54709,0
452,Documentary,tt8510610,6.2,61,,24 Jun 2018,,Girl Meets Farm,2018–,0,54709,0
453,"Comedy, Drama",tt7948998,7.0,"4,893",TV-PG,30 Sep 2018,43 min,God Friended Me,2018–,0,2673,0
454,"Comedy, Crime, Drama",tt6474378,7.9,"20,146",TV-14,26 Feb 2018,43 min,Good Girls,2018–,132,31,6
455,Comedy,tt7018644,6.4,"3,049",TV-14,,22 min,Grown-ish,2018–,3,1,0
456,"Animation, Adventure, Comedy, Family, Fantasy",tt6385540,8.7,"3,968",TV-Y7,21 Sep 2018,24 min,Hilda,2018–2020,5,6,0
457,"Drama, Thriller",tt7008682,7.6,"13,302",TV-MA,02 Nov 2018,30 min,Homecoming,2018–,131,54709,0
458,,tt7665014,8.8,41,,16 Sep 2018,,Human Kind Of,2018–,0,1,0
459,"Action, Sci-Fi",tt6160506,7.5,"6,333",TV-MA,06 Jun 2018,50 min,Impulse,2018–,45,1,0
460,Documentary,tt8005322,5.7,294,,20 Jul 2018,41 min,In Search of...,2018–,4,18,0
461,"Comedy, Drama, Thriller",tt6487482,6.6,"16,865",TV-MA,10 Aug 2018,45 min,Insatiable,2018–,0,54709,0
462,"Horror, Thriller",tt8427140,6.3,"2,043",TV-MA,05 Oct 2018,90 min,Into the Dark,2018–,0,603,0
463,"Action, Drama, Thriller",tt5057054,8.2,"53,803",TV-MA,31 Aug 2018,60 min,Tom Clancy's Jack Ryan,2018–,0,1,0
464,Reality-TV,tt7686456,6.8,927,TV-14,05 Apr 2018,60 min,Jersey Shore Family Vacation,2018–,5,8,0
465,Comedy,tt8199790,8.4,416,TV-PG,,,Joe Pera Talks with You,2018–,0,859,0
466,,tt8750870,,,,26 Mar 2018,,Keep It Spotless,2018–,0,54709,0
467,"Comedy, Drama",tt7375404,7.9,"10,538",TV-MA,31 Aug 2018,30 min,Kidding,2018–,80405,6313,1
468,"Drama, Thriller",tt7016936,8.3,"51,667",TV-14,08 Apr 2018,43 min,Killing Eve,2018–,180,51,0
469,Comedy,tt7255502,8.1,"12,595",TV-MA,16 Nov 2018,30 min,The Kominsky Method,2018–,2,54709,0
470,"Animation, Action, Adventure, Comedy, Family, Fantasy",tt8271176,7.8,440,TV-Y7,16 Nov 2018,24 min,Kung Fu Panda: The Paws of Destiny,2018–,0,0,0
471,Comedy,tt5363912,6.9,"2,185",TV-MA,31 Mar 2018,30 min,The Last O.G.,2018–,0,54709,0
472,"Adventure, Drama, Fantasy, Horror, Mystery",tt8103070,7.5,"11,106",TV-14,25 Oct 2018,45 min,Legacies,2018–,147,10,0
473,"Animation, Family",tt9351618,,,,10 Dec 2018,,Let's Go Luna!: Luna's Christmas Around the World,2018,0,0,0
474,Talk-Show,tt7661438,9.0,37,,01 Feb 2018,60 min,"Life, Liberty & Levin",2018–,0,27,0
475,Thriller,tt8619822,6.5,"1,874",TV-14,12 Oct 2018,23 min,Light as a Feather,2018–,0,54710,0
476,Animation,tt4781350,6.0,146,TV-Y,26 Jan 2018,24 min,Llama Llama,2018–,170,3,1
477,"Comedy, Drama",tt6128254,7.3,"2,001",TV-14,06 Aug 2018,51 min,Lodge 49,2018–,0,1,0
478,"Adventure, Drama, Family, Mystery, Sci-Fi",tt5232792,7.2,"52,067",TV-PG,13 Apr 2018,60 min,Lost in Space,2018–,417,21,11
479,Reality-TV,tt7370908,4.8,90,TV-14,01 Jan 2018,42 min,Love & Hip Hop: Miami,2018–,2,15,0
480,"Biography, Drama, Music",tt8045690,8.1,"2,331",,,60 min,Luis Miguel: The Series,2018–,0,1,0
481,"Action, Adventure, Crime",tt7942796,5.5,"6,032",TV-14,24 Sep 2018,43 min,Magnum P.I.,2018–,270,40,3
482,"Comedy, Reality-TV",tt6874206,7.7,689,TV-PG,31 Jul 2018,60 min,Making It,2018–,32,1696,1
483,"Drama, Mystery",tt8421350,7.2,"15,192",TV-14,24 Sep 2018,43 min,Manifest,2018–,0,2,0
484,"Crime, Drama, Thriller",tt5715524,7.5,"8,449",TV-MA,04 Sep 2018,60 min,Mayans M.C.,2018–,15,2,0
485,"Comedy, Drama, Mystery, Romance",tt7608248,7.9,"5,366",TV-14,,43 min,A Million Little Things,2018–,0,3,0
486,Reality-TV,tt8050736,6.5,288,TV-14,24 Jul 2018,21 min,Miz & Mrs.,2018–,16,59,0
487,"Animation, Adventure, Comedy, Family, Fantasy, Musical",tt6337766,7.2,265,TV-Y,23 Mar 2018,23 min,Muppet Babies,2018–,304,32,0
488,Drama,tt7616830,5.3,76,,22 Feb 2018,23 min,Music City,2018–,23,51,0
489,Talk-Show,tt7829834,8.0,"3,323",TV-MA,12 Jan 2018,60 min,My Next Guest Needs No Introduction with David Letterman,2018–,0,0,1
490,"Crime, Drama",tt8714904,8.4,"36,894",TV-MA,16 Nov 2018,50 min,Narcos: Mexico,2018–,8,54,0
491,Comedy,tt7942794,6.1,"2,832",TV-PG,01 Oct 2018,30 min,The Neighborhood,2018–,11,30,0
492,Drama,tt7817340,8.1,"10,534",TV-14,25 Sep 2018,43 min,New Amsterdam,2018–,9,54709,0
493,"Comedy, Thriller",tt7461200,5.3,"3,027",R,19 Oct 2018,93 min,The Oath,2018,15,9,0
494,Comedy,tt7879820,8.1,"7,068",TV-14,16 Mar 2018,30 min,On My Block,2018–,0,54710,0
495,Documentary,tt7651892,8.9,"4,153",,26 Mar 2018,47 min,One Strange Rock,2018–,0,54709,0
496,"Animation, Comedy",tt7689460,5.1,"2,632",TV-14,11 Feb 2018,30 min,Our Cartoon President,2018–,0,54709,0
497,"Action, Fantasy",tt7612548,5.7,"3,242",TV-14,10 Jul 2018,44 min,The Outpost,2018–,0,3,0
498,"Animation, Comedy, Crime",tt8235236,7.0,"8,699",TV-MA,31 Aug 2018,28 min,Paradise PD,2018–,0,54710,0
499,"Comedy, News, Talk-Show",tt8080054,8.1,"3,672",,28 Oct 2018,25 min,Patriot Act with Hasan Minhaj,2018–,0,3,0
500,Comedy,tt6482686,4.6,268,,16 Jan 2018,30 min,The Paynes,2018–,0,29,0
501,"Animation, Family",tt9149382,,,,20 Nov 2018,,Pete the Cat: A Very Groovy Christmas,2018,0,0,0
502,"Animation, Family, Fantasy",tt7006666,6.2,45,TV-Y,,30 min,Pinkalicious & Peterrific,2018–,0,54710,0
503,"Animation, Adventure, Comedy",tt8673042,,,TV-Y7,01 Jul 2018,22 min,Polly Pocket,2018–,79,6,0
504,Drama,tt7562112,8.5,"10,616",TV-MA,03 Jun 2018,60 min,Pose,2018–,327,53,4
505,Thriller,tt7826276,7.7,94,,11 Mar 2018,105 min,Profile,2018,34,23,0
506,"Action, Drama, Horror, Sci-Fi, Thriller",tt6110648,6.2,"7,473",TV-MA,04 Sep 2018,60 min,The Purge,2018–,18,1,0
507,,tt8396890,,,,21 Nov 2018,,Queen America,2018–,0,223,0
508,Reality-TV,tt7259746,8.6,"11,313",TV-14,07 Feb 2018,45 min,Queer Eye,2018–,187,17,0
509,"Animation, Adventure, Family, Fantasy",tt7967882,6.6,10,,,,Rainbow Rangers,2018–,0,5,0
510,Comedy,tt7942806,6.3,457,TV-MA,03 Aug 2018,30 min,Random Acts of Flyness,2018–,3,0,0
511,Drama,tt6483832,7.5,"14,334",TV-14,21 Jan 2018,60 min,The Resident,2018–,17,8,2
512,"Animation, Action, Adventure, Comedy, Family, Fantasy",tt6601082,5.3,"1,703",TV-Y7-FV,20 Jul 2018,22 min,Rise of the Teenage Mutant Ninja Turtles,2018–,6,0,0
513,"Crime, Drama",tt7587890,8.0,"11,275",TV-14,16 Oct 2018,43 min,The Rookie,2018–,2,5,0
514,"Drama, Horror",tt7949196,9.1,17,,27 Jul 2018,,Sacred Lies,2018–,0,54711,0
515,"Animation, Action, Adventure, Family, Fantasy, Sci-Fi",tt7745956,7.2,"4,325",TV-Y7-FV,13 Nov 2018,30 min,She-Ra and the Princesses of Power,2018–,0,8,0
516,Comedy,tt7845644,6.9,"2,925",TV-PG,26 Sep 2018,30 min,Single Parents,2018–,0,54710,0
517,"Drama, Fantasy",tt5615700,7.0,"9,029",TV-PG,29 Mar 2018,60 min,Siren,2018–,37,1,1
518,Drama,tt8000638,7.5,"1,012",TV-14,18 Sep 2018,30 min,Sorry for Your Loss,2018–,0,4,0
519,Reality-TV,tt6845424,5.4,25,,15 Apr 2018,,Southern Charm New Orleans,2018–,0,7,0
520,"Animation, Action, Adventure, Comedy, Family, Sci-Fi",tt6714408,4.8,196,TV-Y7-FV,20 Apr 2018,,Spy Kids: Mission Critical,2018–,0,3,0
521,"Animation, Action, Adventure, Sci-Fi",tt8336340,4.9,"2,374",TV-Y7,01 Oct 2018,30 min,Star Wars Resistance,2018–,2,170,0
522,"Action, Drama, Romance, Thriller",tt7053188,6.3,"5,200",TV-14,22 Mar 2018,60 min,Station 19,2018–,34,1,0
523,"Drama, Mystery",tt7210448,6.9,"1,556",TV-MA,14 Jun 2018,60 min,Strange Angel,2018–,2,54710,0
524,Drama,tt7660850,8.0,"9,561",TV-MA,03 Jun 2018,60 min,Succession,2018–,5,54711,1
525,"Animation, Adventure, Comedy, Family, Fantasy",tt8146760,7.6,412,,07 Jul 2018,,Summer Camp Island,2018–,0,54711,0
526,Drama,tt7563270,7.0,"2,371",TV-MA,,60 min,Sweetbitter,2018–,15,54711,1
527,,tt8961652,6.3,29,,12 Mar 2018,,Teen Mom: Young and Pregnant,2018–,0,13,0
528,Thriller,tt7695916,7.1,"3,721",TV-MA,31 Oct 2018,52 min,Tell Me a Story,2018–,4,20,0
529,"Adventure, Drama, History, Horror, Thriller",tt2708480,8.0,"29,883",TV-14,25 Mar 2018,60 min,The Terror,2018–,59,20,1
530,Drama,tt8036816,7.3,312,Not Rated,14 Feb 2018,30 min,This Close,2018–,0,28,0
531,Reality-TV,tt9170176,6.5,6,,22 Oct 2018,,T.I. & Tiny: Friends & Family Hustle,2018–,0,2506,0
532,"Action, Adventure, Crime, Drama, Fantasy, Sci-Fi",tt1043813,8.0,"42,793",TV-MA,12 Oct 2018,45 min,Titans,2018–,842,33,5
533,Animation,tt8891990,7.4,108,,01 Sep 2018,11 min,Transformers: Cyberverse,2018–,1,64,0
534,"Animation, Adventure, Comedy, Family, Fantasy, Musical",tt7539608,5.9,466,TV-G,19 Jan 2018,25 min,Trolls: The Beat Goes On!,2018–,0,0,0
535,,tt9387364,,,,01 Aug 2018,,Undivided ATTN:,2018–,0,3,0
536,Reality-TV,tt8303084,5.2,319,,08 Jul 2018,60 min,Very Cavallari,2018–,0,54711,0
537,Drama,tt7725422,7.1,"1,566",TV-MA,06 May 2018,35 min,Vida,2018–,21,2,1
538,Crime,tt8650734,6.5,54,,13 Jul 2018,60 min,Whistleblower,2018–,0,54710,0
539,"Drama, Western",tt4236770,8.4,"11,894",TV-MA,20 Jun 2018,60 min,Yellowstone,2018–,135,138,1
540,"Crime, Drama, Romance, Thriller",tt7335184,7.8,"68,570",TV-14,09 Sep 2018,45 min,You,2018–,9813,4634,142
541,"Biography, Crime, Drama, Thriller",tt8682948,8.1,"11,340",TV-MA,20 Mar 2019,60 min,The Act,2019–,23,32,2
542,"Animation, Comedy, Sci-Fi",tt9287050,6.0,231,TV-MA,27 Feb 2019,30 min,Alien News Desk,2019–,0,54710,0
543,Comedy,tt10309492,6.3,79,,15 Jun 2019,30 min,All That,2019–,128,1014,5
544,Comedy,tt8548866,7.7,262,,18 Jun 2019,,Alternatino with Arturo Castro,2019–,0,0,0
545,Drama,tt9319680,4.5,287,,18 Jun 2019,42 min,Ambitions,2019–,0,11,0
546,Game-Show,tt8510328,7.1,167,,07 Jan 2019,120 min,America's Got Talent: The Champions,2019–,0,7,0
547,Biography,tt8319428,7.0,253,TV-14,05 Feb 2019,60 min,American Soul,2019–,18,2,0
548,"Animation, Adventure, Comedy, Family, Fantasy",tt8050740,7.9,406,TV-Y7,,23 min,Amphibia,2019–,1,1,0
549,"Drama, Sci-Fi",tt8369840,4.8,"15,926",TV-MA,25 Jul 2019,43 min,Another Life,2019–,2,4,0
550,Animation,tt9165404,8.3,33,TV-Y7,06 Sep 2019,,Archibald's Next Big Thing,2019–,11,0,0
551,"Comedy, Family, Game-Show",tt9845152,6.4,28,,10 Jun 2019,30 min,Are You Smarter Than a 5th Grader?,2019–,10,0,1
552,,tt8682738,,,,06 Feb 2019,,Betty en NY,2019–,0,54710,0
553,"Comedy, Drama, Romance",tt8179162,7.0,"2,250",TV-14,07 Aug 2019,,BH90210,2019–,1,2,0
554,Reality-TV,tt10590068,,,,,,Black Ink Crew: Compton,2019–,0,2091,0
555,Comedy,tt9698520,6.9,447,,02 Aug 2019,30 min,A Black Lady Sketch Show,2019–,20,13471,2
556,Comedy,tt7406334,7.4,"2,430",,20 Jan 2019,60 min,Black Monday,2019–,3,43,0
557,"Action, Drama, Horror, Thriller",tt8923854,6.3,"14,746",TV-MA,,40 min,Black Summer,2019–,196,104,3
558,Comedy,tt9418572,6.3,"1,273",TV-PG,16 Apr 2019,30 min,Bless This Mess,2019–,1,1,0
559,"Action, Adventure",tt7712598,6.5,"2,336",TV-14,21 May 2019,60 min,Blood & Treasure,2019–,0,221,0
560,"Comedy, Drama",tt7718088,7.2,"8,079",TV-MA,24 Apr 2019,107 min,Bonding,2019–,73,32,1
561,"Comedy, Drama, Romance",tt9064792,5.3,186,,12 Feb 2019,30 min,Boomerang,2019–,96,1,0
562,"Action, Comedy, Crime, Sci-Fi",tt1190634,8.9,"73,831",TV-MA,26 Jul 2019,60 min,The Boys,2019–,196,1945,55
563,Comedy,tt9777918,3.3,168,TV-14,09 Jul 2019,60 min,Bring the Funny,2019–,0,22,0
564,"Comedy, Game-Show",tt10023306,5.4,70,,12 Jun 2019,60 min,Card Sharks,2019–,12,4,0
565,"Animation, Adventure, Comedy, Fantasy",tt8975856,8.9,10,TV-Y7,01 Feb 2019,11 min,Care Bears: Unlock the Magic,2019–,0,1,0
566,"Animation, Adventure, Family, Mystery",tt7042146,8.0,"1,929",TV-Y7-FV,18 Jan 2019,22 min,Carmen Sandiego,2019–,10,4,1
567,"Crime, Drama, Fantasy, Mystery, Thriller",tt0489974,8.1,"7,193",TV-MA,30 Aug 2019,,Carnival Row,2019–,0,1,0
568,Documentary,tt10359446,8.3,"1,687",TV-14,07 Jun 2019,30 min,The Chef Show,2019–,32,84,1
569,Reality-TV,tt8628426,3.3,202,,,30 min,Christina on the Coast,2019–,0,54712,0
570,"Crime, Drama, Thriller",tt7187044,7.6,"3,355",TV-MA,07 Jun 2019,60 min,City on a Hill,2019–,1,2,0
571,"Adventure, Drama, Family, Fantasy, Sci-Fi",tt6905542,8.8,"5,491",TV-PG,30 Aug 2019,60 min,The Dark Crystal: Age of Resistance,2019–,51,12,0
572,Reality-TV,tt9654080,6.4,565,,14 Feb 2019,30 min,Dating Around,2019–,0,54711,0
573,Drama,tt8905948,6.7,129,,14 Aug 2019,,David Makes Man,2019–,1,14025,0
574,"Animation, Action, Adventure, Comedy, Family",tt9628244,7.3,105,TV-PG,17 Mar 2019,11 min,DC Super Hero Girls,2019–,85,7,2
575,"Comedy, Drama",tt8064302,8.1,"26,346",TV-MA,03 May 2019,30 min,Dead to Me,2019–,12,8,0
576,"Comedy, Talk-Show",tt9362790,7.2,187,,21 Feb 2019,,Desus & Mero,2019–,0,79,0
577,Reality-TV,tt9680508,5.0,20,,04 Sep 2019,,Dog's Most Wanted,2019–,0,54711,0
578,"Action, Adventure, Comedy, Drama, Mystery, Sci-Fi",tt8416494,8.1,"18,384",TV-MA,15 Feb 2019,60 min,Doom Patrol,2019–,71,3,0
579,Drama,tt8772296,8.4,"23,178",TV-MA,16 Jun 2019,55 min,Euphoria,2019–,65,17,1
580,Reality-TV,tt8509962,5.4,8,,20 Jun 2019,60 min,Family Food Fight,2019–,0,54710,0
581,"Comedy, Drama",tt8128344,6.8,980,TV-14,21 Feb 2019,60 min,Flack,2019–,1,13471,0
582,Comedy,tt8548870,,,TV-MA,,,Florida Girls,2019–,0,7,0
583,Drama,tt8319644,6.4,152,TV-14,23 Apr 2019,60 min,Games People Play,2019–,18,1,0
584,Reality-TV,tt10687236,7.0,15,,16 Aug 2019,,Ghost Brothers: Haunted Houseguests,2019–,0,2,0
585,Animation,tt9636800,8.1,23,,18 Jan 2019,22 min,Gigantosaurus,2019–,8,1,0
586,Reality-TV,tt10466426,5.9,55,TV-14,15 Jul 2019,60 min,Girls Cruise,2019,1,5346,0
587,,tt10771948,,,,08 Aug 2019,,Good Eats: The Return,2019–,0,7,0
588,"Comedy, Drama, Romance",tt7820906,7.4,"2,247",TV-14,08 Jan 2019,45 min,Good Trouble,2019–,0,1,0
589,"Adventure, Reality-TV",tt9165706,7.9,146,,21 Jul 2019,,Gordon Ramsay: Uncharted,2019–,2,8,0
590,Drama,tt7671068,6.7,"1,537",TV-14,17 Jun 2019,43 min,Grand Hotel,2019–,1,54711,0
591,"Action, Drama",tt6932244,7.6,"13,868",TV-MA,29 Mar 2019,60 min,Hanna,2019–,530,68,8
592,Reality-TV,tt8878996,5.3,264,,24 Jun 2019,,The Hills: New Beginnings,2019–,0,401,0
593,"Game-Show, Reality-TV",tt10133226,6.5,320,TV-PG,20 Jun 2019,60 min,Holey Moley,2019–,1,54710,0
594,Reality-TV,tt8911552,8.1,"1,230",TV-PG,21 Aug 2019,29 min,Hyperdrive,2019–,12,54711,0
595,Comedy,tt10050772,7.5,"2,844",TV-MA,23 Apr 2019,16 min,I Think You Should Leave with Tim Robinson,2019–,0,2,0
596,"Comedy, Drama",tt7772602,7.3,"2,967",,04 Apr 2019,42 min,In the Dark,2019–,179,603,1
597,"Drama, Sci-Fi",tt7861612,7.0,"2,287",TV-14,29 May 2019,43 min,The InBetween,2019–,3,54711,0
598,"Animation, Adventure, Comedy, Drama, Family, Fantasy, Mystery, Sci-Fi",tt8146754,8.1,67,,05 Aug 2019,11 min,Infinity Train,2019–,1,54709,0
599,"Crime, Drama, Thriller",tt8594276,7.3,"2,124",TV-MA,14 Jun 2019,,Jett,2019–,39,54711,18
600,"Comedy, Family",tt9181662,5.6,59,,,,Just Roll with It,2019–,0,1,0
601,Talk-Show,tt9022950,,,,09 Sep 2019,60 min,The Kelly Clarkson Show,2019–,0,1,0
602,"Documentary, Comedy",tt9454910,6.2,142,,09 May 2019,,Klepper,2019–,0,54711,0
603,"Action, Comedy, Crime",tt7555294,5.6,"1,602",,13 May 2019,60 min,L.A.'s Finest,2019–,2,17,0
604,"Animation, Comedy, Family, Horror",tt8914012,,,,,,The Last Kids on Earth,2019–,11,1,0
605,Animation,tt10332322,9.1,18,,22 Jun 2019,,LEGO City Adventures,2019–,0,54710,0
606,"Comedy, Reality-TV, Talk-Show",tt10023178,7.0,47,,16 Sep 2019,30 min,A Little Late with Lilly Singh,2019–,0,40577,0
607,Reality-TV,tt8961828,4.0,412,,,41 min,Lindsay Lohan's Beach Club,2019,0,3,0
608,Reality-TV,tt10023174,5.3,47,,22 Apr 2019,120 min,Live Rescue,2019–,3,54711,0
609,"Comedy, Horror",tt7721046,7.4,852,,14 Jun 2019,,Los Espookys,2019–,0,54711,0
610,"Animation, Short, Comedy, Fantasy, Horror, Sci-Fi",tt9561862,8.6,"63,208",TV-MA,15 Mar 2019,15 min,"Love, Death & Robots",2019–,0,12,0
611,Reality-TV,tt8819906,4.9,201,,09 Jul 2019,,Love Island,2019–,357,68,0
612,"Action, Adventure, Comedy, Family",tt9228950,4.6,532,,13 May 2019,68 min,Malibu Rescue,2019,0,54711,0
613,"Animation, Action, Adventure, Comedy, Fantasy",tt10364808,7.7,158,TV-Y7-FV,20 May 2019,11 min,Mao Mao: Heroes of Pure Heart,2019–,1,0,0
614,"Game-Show, Music, Reality-TV",tt7670568,6.5,"1,063",TV-PG,02 Jan 2019,60 min,The Masked Singer,2019–,4,1,0
615,,tt8888210,5.7,63,TV-PG,19 Mar 2019,60 min,Mental Samurai,2019–,0,54710,0
616,Reality-TV,tt8845076,6.4,72,TV-14,26 Feb 2019,43 min,Mexican Dynasties,2019–,0,165,0
617,"Comedy, Drama, Fantasy, Romance",tt7529770,6.9,"4,512",TV-14,08 Feb 2019,30 min,Miracle Workers,2019–,5,54711,0
618,"Animation, Fantasy",tt8651594,7.7,23,TV-Y7,15 Jul 2019,,Molly Of Denali,2019–,0,54711,0
619,Comedy,tt8403536,7.1,"3,274",TV-14,21 Jun 2019,30 min,Mr. Iglesias,2019–,0,54711,0
620,"Documentary, Crime",tt8068916,6.8,40,,01 Aug 2019,,No One Saw a Thing,2019–,0,2010,0
621,"Drama, Fantasy, Horror, Mystery",tt5194792,6.8,"3,783",TV-14,02 Jun 2019,60 min,NOS4A2,2019–,22,54711,286
622,Comedy,tt6398232,7.3,317,,16 Aug 2019,,On Becoming a God in Central Florida,2019–,0,5,0
623,"Drama, Fantasy, Horror",tt8295472,6.9,"10,735",TV-MA,07 Mar 2019,60 min,The Order,2019–,242,274,1
624,Comedy,tt8310612,7.3,"1,277",,24 Jan 2019,30 min,The Other Two,2019–,0,54711,1
625,"Action, Drama, Sci-Fi",tt10207090,3.6,"1,374",,16 Jul 2019,,Pandora,2019–,1,2,0
626,Drama,tt8115460,6.7,978,,17 Jul 2019,60 min,Pearson,2019–,61,107,0
627,Comedy,tt8324422,7.9,"2,507",TV-MA,08 Feb 2019,30 min,PEN15,2019–,11,54710,0
628,"Action, Crime, Drama",tt8425532,8.1,"2,187",,28 Jul 2019,60 min,Pennyworth,2019–,4,2,0
629,Drama,tt8912384,7.5,865,TV-MA,02 Jun 2019,,"Perpetual Grace, LTD",2019–,26,54711,1
630,"Action, Sci-Fi",tt8022978,7.2,149,TV-Y7,02 Mar 2019,21 min,Power Rangers Beast Morphers,2019,4,4,3
631,Game-Show,tt10038600,6.3,85,,12 Jun 2019,60 min,Press Your Luck,2019–,14,5,1
632,"Crime, Drama, Mystery, Romance, Thriller",tt7413448,7.2,"2,568",TV-14,20 Mar 2019,45 min,Pretty Little Liars: The Perfectionists,2019–,0,2,0
633,"Drama, Mystery, Sci-Fi, Thriller",tt6632666,7.6,"5,488",TV-14,08 Jan 2019,45 min,Project Blue Book,2019–,0,54711,0
634,Family,tt10302548,,,,,,Pup Academy,2019–,0,54711,0
635,Comedy,tt7649694,8.1,"2,202",,19 Apr 2019,30 min,Ramy,2019–,0,132,0
636,"Crime, Drama",tt8892926,5.7,856,TV-PG,20 Jun 2019,60 min,Reef Break,2019–,0,54711,0
637,Comedy,tt8634332,8.1,750,TV-MA,18 Aug 2019,,The Righteous Gemstones,2019–,0,54711,0
638,"Documentary, Adventure, Biography",tt10343752,6.9,64,,09 Jun 2019,,Ripley's Believe It or Not!,2019–,1,3,0
639,"Drama, Romance, Sci-Fi",tt7588054,6.0,"6,270",TV-14,15 Jan 2019,60 min,"Roswell, New Mexico",2019–,0,2,0
640,,tt9174472,,,,,,RuPaul,2019–,252,34,0
641,"Comedy, Drama, Mystery",tt7520794,7.9,"45,450",TV-MA,01 Feb 2019,30 min,Russian Doll,2019–,29,21,0
642,Family,tt9845168,2.0,148,,19 Apr 2019,,Ryan's Mystery Playdate,2019–,0,92,0
643,Comedy,tt6546758,6.9,"1,619",,09 Jan 2019,30 min,Schooled,2019–,2500,1498,58
644,"Animation, Comedy, Family, Fantasy, Mystery",tt8456094,7.4,194,,,,Scooby-Doo and Guess Who?,2019–,0,54711,0
645,"Comedy, Music",tt7422812,5.0,100,,31 Jul 2019,,Sherman's Showcase,2019–,0,27,0
646,Comedy,tt8962130,7.4,"2,616",TV-MA,15 Mar 2019,30 min,Shrill,2019–,0,2,0
647,"Drama, Mystery, Sci-Fi, Thriller",tt8778064,7.1,"11,859",TV-MA,10 May 2019,58 min,The Society,2019–,10,28,0
648,"Game-Show, Reality-TV",tt9165752,7.5,325,TV-PG,28 May 2019,60 min,Songland,2019–,34,1,0
649,Comedy,tt9272514,7.4,217,,24 Jul 2019,,South Side,2019–,3000,99,0
650,Comedy,tt9381622,7.6,"4,331",TV-MA,12 Apr 2019,15 min,Special,2019–,1782,182,23
651,Game-Show,tt8888532,4.7,155,,20 Jun 2019,60 min,Spin the Wheel,2019–,1,5,0
652,Talk-Show,tt10393806,7.1,15,,12 Aug 2019,,Straight Up Steve Austin,2019–,0,19,0
653,Reality-TV,tt10648730,9.2,184,,07 Jul 2019,43 min,The Strongest Man in History,2019–,0,14025,0
654,Reality-TV,tt10715202,6.4,23,,30 Aug 2019,,Styling Hollywood,2019–,1,4,0
655,"Comedy, Reality-TV",tt10054958,4.2,12,,01 Apr 2019,30 min,The Substitute,2019,1,2,0
656,"Comedy, Family",tt8959856,6.0,144,TV-G,,22 min,Sydney to the Max,2019–,0,54713,0
657,"Animation, Adventure, Comedy, Family, Music",tt8266218,8.0,64,,,,T.O.T.S.,2019–,10,61,1
658,Comedy,tt8026448,7.8,"1,236",,28 Mar 2019,30 min,Tacoma FD,2019–,0,54711,0
659,Talk-Show,tt9071818,5.4,10,,09 Sep 2019,60 min,Tamron Hall,2019–,0,54711,0
660,Reality-TV,tt9174576,6.3,241,TV-14,15 Jan 2019,60 min,Temptation Island,2019–,0,54711,0
661,Reality-TV,tt7967262,7.5,"1,452",,03 Jan 2019,60 min,The Titan Games,2019–,6,2,0
662,"Crime, Drama",tt9134194,7.2,"2,730",,,30 min,Trinkets,2019–,47,17,0
663,"Animation, Action, Adventure, Comedy, Family, Fantasy",tt8009622,7.3,144,TV-Y7,29 Jul 2019,,Twelve Forever,2019–,0,54711,0
664,"Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller",tt2583620,5.8,"7,920",TV-MA,01 Apr 2019,60 min,The Twilight Zone,2019–,216,83,4
665,"Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",tt1312171,8.0,"80,276",TV-14,15 Feb 2019,60 min,The Umbrella Academy,2019–,850,77,2
666,Reality-TV,tt8417266,6.6,107,,06 Aug 2019,,Undercover Billionaire,2019–,0,54713,0
667,"Animation, Drama, Fantasy",tt8101850,,,,13 Sep 2019,,Undone,2019–,0,54711,0
668,"Comedy, Crime, Drama, Mystery, Thriller",tt8890226,,,,,,Veronica Mars,2019–,29,24,1
669,"Comedy, Reality-TV",tt9205998,2.9,13,TV-14,12 Mar 2019,20 min,Videos After Dark,2019–,2,54713,0
670,"Action, Crime, Drama, History",tt5743796,8.3,"7,640",TV-MA,05 Apr 2019,60 min,Warrior,2019–,741,185,5
671,News,tt8629150,6.2,121,,02 Jun 2019,26 min,The Weekly,2019–,135,73,13
